Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
  128    16.0    31.1    16.7    0.00    0.00    0.00    0.00    0.00    4.25    1.70    0.02  149.61   1.032   0.523   1.000
  129    13.7    27.8    18.3    1.00    0.00    0.00    1.00    0.00    3.55    1.38    0.02  149.22   1.029   0.520   1.000
  130    15.7    29.4    15.0    0.00    0.00    0.00    0.00    0.00    4.04    1.56    0.02  147.64   1.018   0.507   1.000
  131    15.7    28.3    20.6    0.00    0.00    0.00    0.00    0.00    4.16    1.57    0.02  146.05   1.007   0.494   1.000
  132    19.1    30.0    18.3    4.10    0.00    0.00    4.10    0.00    5.07    1.86    0.02  148.27   1.023   0.512   1.000
  133    18.5    29.4    19.4    6.30    0.00    0.00    6.30    0.00    4.91    1.87    0.02  152.68   1.053   0.549   1.000
  134    12.6    28.9    19.4    7.10    0.00    0.00    7.10    0.00    3.33    1.36    0.02  158.40   1.092   0.597   1.000
  135    21.3    28.9    19.4    0.00    0.00    0.00    0.00    0.00    5.63    2.50    0.03  155.88   1.075   0.576   1.000
  136    20.5    29.4    18.9    8.10    0.00    0.00    8.10    0.00    5.43    2.32    0.03  161.63   1.115   0.624   1.000
  137    26.2    30.0    19.4    0.00    0.00    0.00    0.00    0.00    7.01    3.25    0.04  158.34   1.092   0.596   1.000
  138    25.0    31.7    18.9    0.00    0.00    0.00    0.00    0.00    6.78    3.01    0.04  155.30   1.071   0.571   1.000
  139    14.8    31.7    19.4   38.90    0.00    0.00   38.90    0.00    4.03    1.71    0.02  192.46   1.327   0.882   1.000
  140    27.3    31.7    18.3   10.90    0.00    0.00   10.90    0.00    7.38    4.83    0.06  198.47   1.369   0.932   1.000
  141    14.0    31.1    20.6   25.40    0.00    0.00   25.40    0.00    3.82    2.65    0.03  221.19   1.525   1.000   1.000
  142    20.7    29.4    21.1    2.00    0.00    0.00    2.00    0.00    5.57    4.64    0.05  218.50   1.507   1.000   1.000
  143    21.5    29.4    18.9    0.00    0.00    0.00    0.00    0.00    5.69    4.65    0.05  213.80   1.474   1.000   1.000
  144    24.5    29.4    19.4    0.00    0.00    0.00    0.00    0.00    6.51    5.13    0.06  208.62   1.439   1.000   1.000
  145    24.4    29.4    18.3    0.00    0.00    0.00    0.00    0.00    6.43    4.86    0.06  203.70   1.405   0.976   1.000
  146    25.3    29.4    17.2    0.00    0.00    0.00    0.00    0.00    6.61    4.79    0.06  198.85   1.371   0.935   1.000
  147    19.2    28.9    17.2    4.60    0.00    0.00    4.60    0.00    4.99    3.47    0.04  199.94   1.379   0.944   1.000
  148    20.9    29.4    19.4    0.00    0.00    0.00    0.00    0.00    5.55    3.90    0.05  195.99   1.352   0.911   1.000
  149    24.2    29.4    18.3    0.00    0.00    0.00    0.00    0.00    6.38    4.32    0.05  191.62   1.322   0.875   1.000
  150    24.9    29.4    18.3    0.00    0.00    0.00    0.00    0.00    6.56    4.26    0.05  187.31   1.292   0.839   1.000
  151    21.3    30.6    19.4    0.00    0.00    0.00    0.00    0.00    5.73    3.57    0.04  183.69   1.267   0.808   1.000
  152    27.0    33.3    20.0    0.00    0.00    0.00    0.00    0.00    7.51    4.51    0.06  179.12   1.235   0.770   1.000
  153    24.9    35.0    21.1    0.00    0.00    0.00    0.00    0.00    7.11    4.07    0.05  175.01   1.207   0.736   1.000
  154    25.4    33.9    21.7    0.00    0.00    0.00    0.00    0.00    7.20    3.93    0.05  171.02   1.179   0.702   1.000
  155    12.3    31.7    22.2    0.00    0.00    0.00    0.00    0.00    3.42    1.78    0.02  169.22   1.167   0.687   1.000
  156    16.5    31.7    20.6    0.00    0.00    0.00    0.00    0.00    4.53    2.32    0.03  166.88   1.151   0.668   1.000
  157    22.5    31.7    20.6    2.30    0.00    0.00    2.30    0.00    6.18    3.07    0.04  166.07   1.145   0.661   1.000
  158    26.7    31.7    19.4    0.00    0.00    0.00    0.00    0.00    7.27    3.57    0.04  162.45   1.120   0.631   1.000
  159    25.7    32.2    17.2    0.00    0.00    0.00    0.00    0.00    6.93    3.25    0.04  159.17   1.098   0.603   1.000
  160    28.3    33.3    16.1    0.00    0.00    0.00    0.00    0.00    7.66    3.43    0.04  155.69   1.074   0.574   1.000
  161    25.4    34.4    20.6    0.00    0.00    0.00    0.00    0.00    7.18    3.06    0.04  152.59   1.052   0.548   1.000
  162    22.8    34.4    20.6    0.00    0.00    0.00    0.00    0.00    6.44    2.63    0.03  149.93   1.034   0.526   1.000
  163    20.7    33.3    23.3    0.00    0.00    0.00    0.00    0.00    5.89    2.30    0.03  147.60   1.018   0.507   1.000
  164    17.8    33.3    21.7    0.00    0.00    0.00    0.00    0.00    5.01    1.89    0.02  145.69   1.005   0.491   1.000
  165    13.7    30.0    21.1    4.80    0.00    0.00    4.80    0.00    3.71    1.35    0.02  149.12   1.028   0.519   1.000
  166    26.2    33.9    20.6    0.00    0.00    0.00    0.00    0.00    7.37    2.84    0.03  146.24   1.009   0.495   1.000
  167    25.7    35.0    20.0    0.00    0.00    0.00    0.00    0.00    7.28    2.68    0.03  143.53   0.990   0.473   1.000
  168    22.4    32.2    21.1    0.00    0.00    0.00    0.00    0.00    6.21    2.18    0.03  141.33   0.975   0.454   1.000
  169    17.8    32.8    21.1    0.00    0.00    0.00    0.00    0.00    4.96    1.68    0.02  139.63   0.963   0.440   1.000
  170    23.3    32.8    21.1    0.00    0.00    0.00    0.00    0.00    6.50    2.12    0.03  137.48   0.948   0.422   1.000
  171    19.3    35.0    22.2    0.00    0.00    0.00    0.00    0.00    5.55    1.74    0.02  135.72   0.936   0.407   1.000
